date,day_of_week,page_loads,unique_visits,first_time_visits,returning_visits
12/21/2015,Monday,3.335,2.335,1.906,429.0
12/22/2015,Tuesday,2.883,2.047,1.639,408.0
12/23/2015,Wednesday,2.353,1.621,1.312,309.0
12/24/2015,Thursday,1.578,1.099,886.0,213.0
12/25/2015,Friday,1.017,724.0,586.0,138.0
12/26/2015,Saturday,1.334,936.0,760.0,176.0
12/27/2015,Sunday,1.69,1.155,947.0,208.0
12/28/2015,Monday,2.838,1.829,1.474,355.0
12/29/2015,Tuesday,2.815,1.786,1.419,367.0
12/30/2015,Wednesday,2.382,1.618,1.292,326.0
12/31/2015,Thursday,1.587,1.035,809.0,226.0
1/1/2016,Friday,1.411,960.0,786.0,174.0
1/2/2016,Saturday,1.838,1.197,969.0,228.0
1/3/2016,Sunday,2.18,1.562,1.279,283.0
1/4/2016,Monday,3.587,2.494,2.037,457.0
1/5/2016,Tuesday,3.855,2.742,2.23,512.0
1/6/2016,Wednesday,3.84,2.628,2.127,501.0
1/7/2016,Thursday,3.735,2.746,2.258,488.0
1/8/2016,Friday,3.223,2.286,1.86,426.0
1/9/2016,Saturday,2.207,1.531,1.28,251.0
1/10/2016,Sunday,2.814,2.0,1.661,339.0
1/11/2016,Monday,4.007,2.976,2.444,532.0
1/12/2016,Tuesday,4.119,2.961,2.385,576.0
1/13/2016,Wednesday,4.338,3.164,2.631,533.0
1/14/2016,Thursday,4.432,2.962,2.418,544.0
1/15/2016,Friday,3.306,2.349,1.866,483.0
1/16/2016,Saturday,2.223,1.557,1.262,295.0
1/17/2016,Sunday,2.757,2.002,1.635,367.0
1/18/2016,Monday,4.047,2.898,2.373,525.0
1/19/2016,Tuesday,4.489,3.19,2.566,624.0
1/20/2016,Wednesday,4.588,3.232,2.656,576.0
